Hex Code,Color Name,RGB,R,G,B,Shade
#000000,Black,"rgb(0, 0, 0)",0,0,0,Black
#1B1212,Licorice,"rgb(27, 18, 18)",27,18,18,Black
#28282B,Matte Black,"rgb(40, 40, 43)",40,40,43,Black
#00FFFF,Aqua,"rgb(0, 255, 255)",0,255,255,Blue
#7393B3,Blue Gray,"rgb(115, 147, 179)",115,147,179,Blue
#F0FFFF,Azure,"rgb(240, 255, 255)",240,255,255,Blue
#89CFF0,Baby Blue,"rgb(137, 207, 240)",137,207,240,Blue
#0000FF,Blue,"rgb(0, 0, 255)",0,0,255,Blue
#0096FF,Bright Blue,"rgb(0, 150, 255)",0,150,255,Blue
#5F9EA0,Cadet Blue,"rgb(95, 158, 160)",95,158,160,Blue
#0047AB,Cobalt Blue,"rgb(0, 71, 171)",0,71,171,Blue
#6495ED,Cornflower Blue,"rgb(100, 149, 237)",100,149,237,Blue
#00008B,Dark Blue,"rgb(0, 0, 139)",0,0,139,Blue
#6F8FAF,Denim,"rgb(111, 143, 175)",111,143,175,Blue
#1434A4,Egyptian Blue,"rgb(20, 52, 164)",20,52,164,Blue
#3F00FF,Indigo,"rgb(63, 0, 255)",63,0,255,Blue
#ADD8E6,Light Blue,"rgb(173, 216, 230)",173,216,230,Blue
#000080,Navy Blue,"rgb(0, 0, 128)",0,0,128,Blue
#1F51FF,Neon Blue,"rgb(31, 81, 255)",31,81,255,Blue
#A7C7E7,Pastel Blue,"rgb(167, 199, 231)",167,199,231,Blue
#B6D0E2,Powder Blue,"rgb(182, 208, 226)",182,208,226,Blue
#4169E1,Royal Blue,"rgb(65, 105, 225)",65,105,225,Blue
#0F52BA,Sapphire Blue,"rgb(15, 82, 186)",15,82,186,Blue
#87CEEB,Sky Blue,"rgb(135, 206, 235)",135,206,235,Blue
#4682B4,Steel Blue,"rgb(70, 130, 180)",70,130,180,Blue
#0437F2,Ultramarine,"rgb(4, 55, 242)",4,55,242,Blue
#0818A8,Zaffre,"rgb(8, 24, 168)",8,24,168,Blue
#7DF9FF,Electric Blue,"rgb(125, 249, 255)",125,249,255,Blue
#6082B6,Glaucous,"rgb(96, 130, 182)",96,130,182,Blue
#191970,Midnight Blue,"rgb(25, 25, 112)",25,25,112,Blue
#EADDCA,Almond,"rgb(234, 221, 202)",234,221,202,Brown
#DAA06D,Buff,"rgb(218, 160, 109)",218,160,109,Brown
#6E260E,Burnt Umber,"rgb(110, 38, 14)",110,38,14,Brown
#C19A6B,Camel,"rgb(193, 154, 107)",193,154,107,Brown
#954535,Chestnut,"rgb(149, 69, 53)",149,69,53,Brown
#D27D2D,Cinnamon,"rgb(210, 125, 45)",210,125,45,Brown
#7B3F00,Chocolate,"rgb(123, 63, 0)",123,63,0,Brown
#6F4E37,Coffee,"rgb(111, 78, 55)",111,78,55,Brown
#834333,Cognac,"rgb(131, 67, 51)",131,67,51,Brown
#5C4033,Dark Brown,"rgb(92, 64, 51)",92,64,51,Brown
#B87333,Copper,"rgb(184, 115, 51)",184,115,51,Brown
#988558,Dark Tan,"rgb(152, 133, 88)",152,133,88,Brown
#E5AA70,Fawn,"rgb(229, 170, 112)",229,170,112,Brown
#966919,Golden Brown,"rgb(150, 105, 25)",150,105,25,Brown
#C4A484,Light Brown,"rgb(196, 164, 132)",196,164,132,Brown
